# Time_Step Physical_Time Residual Converged
     0 0.000000e+00 1.000001e-02 0
     1 1.000000e-05 9.900508e-03 0
     2 2.000000e-05 9.801997e-03 0
     3 3.000000e-05 9.704465e-03 0
     4 4.000000e-05 9.607904e-03 0
     5 5.000000e-05 9.512304e-03 0
     6 6.000000e-05 9.417655e-03 0
     7 7.000000e-05 9.323948e-03 0
     8 8.000000e-05 9.231173e-03 0
     9 9.000000e-05 9.139322e-03 0
    10 1.000000e-04 9.048384e-03 0
    11 1.100000e-04 8.958351e-03 0
    12 1.200000e-04 8.869214e-03 0
    13 1.300000e-04 8.780964e-03 0
    14 1.400000e-04 8.693592e-03 0
    15 1.500000e-04 8.607090e-03 0
    16 1.600000e-04 8.521448e-03 0
    17 1.700000e-04 8.436658e-03 0
    18 1.800000e-04 8.352712e-03 0
    19 1.900000e-04 8.269601e-03 0
    20 2.000000e-04 8.187318e-03 0
    21 2.100000e-04 8.105852e-03 0
    22 2.200000e-04 8.025198e-03 0
    23 2.300000e-04 7.945346e-03 0
    24 2.400000e-04 7.866289e-03 0
    25 2.500000e-04 7.788018e-03 0
    26 2.600000e-04 7.710526e-03 0
    27 2.700000e-04 7.633805e-03 0
    28 2.800000e-04 7.557847e-03 0
    29 2.900000e-04 7.482646e-03 0
    30 3.000000e-04 7.408192e-03 0
    31 3.100000e-04 7.334480e-03 0
    32 3.200000e-04 7.261500e-03 0
    33 3.300000e-04 7.189247e-03 0
    34 3.400000e-04 7.117713e-03 0
    35 3.500000e-04 7.046891e-03 0
    36 3.600000e-04 6.976773e-03 0
    37 3.700000e-04 6.907353e-03 0
    38 3.800000e-04 6.838624e-03 0
    39 3.900000e-04 6.770579e-03 0
    40 4.000000e-04 6.703210e-03 0
    41 4.100000e-04 6.636513e-03 0
    42 4.200000e-04 6.570478e-03 0
    43 4.300000e-04 6.505101e-03 0
    44 4.400000e-04 6.440374e-03 0
    45 4.500000e-04 6.376292e-03 0
    46 4.600000e-04 6.312846e-03 0
    47 4.700000e-04 6.250033e-03 0
    48 4.800000e-04 6.187844e-03 0
    49 4.900000e-04 6.126274e-03 0
    50 5.000000e-04 6.065317e-03 0
    51 5.100000e-04 6.004966e-03 0
    52 5.200000e-04 5.945215e-03 0
    53 5.300000e-04 5.886060e-03 0
    54 5.400000e-04 5.827493e-03 0
    55 5.500000e-04 5.769508e-03 0
    56 5.600000e-04 5.712101e-03 0
    57 5.700000e-04 5.655264e-03 0
    58 5.800000e-04 5.598994e-03 0
    59 5.900000e-04 5.543283e-03 0
    60 6.000000e-04 5.488126e-03 0
    61 6.100000e-04 5.433519e-03 0
    62 6.200000e-04 5.379454e-03 0
    63 6.300000e-04 5.325928e-03 0
    64 6.400000e-04 5.272934e-03 0
    65 6.500000e-04 5.220468e-03 0
    66 6.600000e-04 5.168523e-03 0
    67 6.700000e-04 5.117096e-03 0
    68 6.800000e-04 5.066180e-03 0
    69 6.900000e-04 5.015771e-03 0
    70 7.000000e-04 4.965863e-03 0
    71 7.100000e-04 4.916452e-03 0
    72 7.200000e-04 4.867533e-03 0
    73 7.300000e-04 4.819100e-03 0
    74 7.400000e-04 4.771149e-03 0
    75 7.500000e-04 4.723676e-03 0
    76 7.600000e-04 4.676674e-03 0
    77 7.700000e-04 4.630141e-03 0
